iter	Logloss
0	0.6515447475
1	0.6143802218
2	0.5896339409
3	0.5742321044
4	0.559046002
5	0.54247688
6	0.528227296
7	0.5169427767
8	0.5085010771
9	0.4996557226
10	0.4893399916
11	0.4832183352
12	0.4734846692
13	0.4650537073
14	0.4572506677
15	0.4506404823
16	0.444561713
17	0.4380358512
18	0.4337710338
19	0.425642067
20	0.4180569595
21	0.4125302199
22	0.4052064212
23	0.3976006605
24	0.3925422557
25	0.3873414821
26	0.381436423
27	0.3776945994
28	0.3731212415
29	0.3687960504
30	0.3642844525
31	0.357505653
32	0.353450189
33	0.3479481611
34	0.345676436
35	0.3421494481
36	0.3378864854
37	0.3328229792
38	0.3287465128
39	0.323710492
40	0.32017699
41	0.3159661311
42	0.3117361392
43	0.3093200985
44	0.3059864301
45	0.3020992412
46	0.2970462656
47	0.2945987401
48	0.2922999803
49	0.2894256888
50	0.2847389315
51	0.2815916183
52	0.2788382506
53	0.2754357092
54	0.2710670693
55	0.2672960918
56	0.2659530162
57	0.2629059161
58	0.2603385002
59	0.2574344732
60	0.2548243102
61	0.2517561581
62	0.250456758
63	0.2483984093
64	0.2456477601
65	0.2439223973
66	0.2403338661
67	0.2357968331
68	0.2335150809
69	0.231022399
70	0.2289759256
71	0.2271396303
72	0.2238340243
73	0.220562166
74	0.2176646037
75	0.2153454823
76	0.2139400086
77	0.2118685206
78	0.2086397235
79	0.2070297111
80	0.2041473732
81	0.2017491213
82	0.1999427916
83	0.1990070175
84	0.1967616218
85	0.1954288185
86	0.1933302044
87	0.1913944529
88	0.1902188133
89	0.1886880477
90	0.1867559699
91	0.1842849457
92	0.1820964815
93	0.1811142461
94	0.1791616951
95	0.1770099563
96	0.1747725863
97	0.1736267668
98	0.1714218494
99	0.169766932
