iter	Passed	Remaining
0	1	133
1	2	127
2	4	142
3	6	147
4	8	163
5	10	162
6	12	160
7	14	170
8	17	174
9	20	180
10	22	181
11	24	178
12	26	178
13	28	176
14	31	175
15	32	172
16	34	169
17	36	166
18	39	166
19	41	164
20	43	163
21	45	161
22	47	160
23	50	159
24	52	157
25	55	157
26	57	154
27	59	151
28	61	150
29	62	146
30	65	144
31	67	144
32	69	141
33	71	138
34	73	137
35	75	134
36	77	132
37	79	129
38	81	126
39	83	124
40	85	122
41	87	120
42	89	117
43	91	116
44	93	114
45	95	112
46	97	109
47	99	108
48	101	106
49	104	104
50	106	102
51	108	99
52	110	97
53	112	95
54	114	93
55	116	91
56	118	89
57	119	86
58	122	84
59	123	82
60	126	80
61	129	79
62	131	77
63	133	75
64	135	73
65	139	71
66	141	69
67	143	67
68	145	65
69	148	63
70	150	61
71	151	58
72	153	56
73	155	54
74	157	52
75	159	50
76	161	48
77	162	45
78	164	43
79	166	41
80	167	39
81	169	37
82	171	35
83	173	33
84	176	31
85	179	29
86	182	27
87	184	25
88	186	23
89	188	20
90	191	18
91	193	16
92	196	14
93	198	12
94	200	10
95	202	8
96	205	6
97	206	4
98	208	2
99	210	0
